;A;B;C;D;E
1;5;8;21;37;46
2;5;7;12;19;26
3;7;8;34;36;38
4;5;11;12;27;32
5;10;16;30;41;45
6;10;13;19;40;45
7;29;30;35;41;45
8;15;21;38;39;47
9;12;18;43;44;46
10;4;11;26;32;41
11;11;28;34;37;38
12;10;15;16;36;44
13;6;10;17;18;42
14;13;14;16;47;49
15;5;8;19;33;36
16;10;22;24;33;38
17;8;12;27;31;37
18;6;9;13;14;25
19;9;22;23;34;35
20;12;15;18;24;25
21;6;11;40;46;48
22;3;16;30;34;35
23;9;20;21;33;49
24;8;22;28;40;42
25;15;23;25;46;49
26;10;14;15;24;47
27;18;29;41;44;49
28;5;14;16;34;39
29;26;28;40;49;50
30;6;11;17;43;49
31;6;14;18;19;48
32;7;17;18;19;22
33;3;5;7;12;31
34;25;29;38;41;44
35;1;4;7;21;26
36;1;21;32;36;50
37;2;13;21;24;37
38;13;20;22;27;42
39;17;28;31;35;39
40;11;20;24;25;35
41;5;8;22;32;39
42;6;20;29;40;45
43;6;31;37;41;49
44;9;13;21;28;45
45;4;13;28;37;38
46;2;4;14;26;29
47;12;14;17;27;43
48;4;9;26;32;40
49;3;13;41;46;49
50;19;28;29;34;44
51;10;12;14;30;43
52;4;30;32;41;50
53;5;12;21;43;48
54;1;22;27;37;50
55;22;31;37;38;41
56;8;19;22;32;40
57;17;18;22;24;25
58;11;14;19;23;49
59;14;16;28;44;48
60;6;9;31;33;35
61;4;6;10;13;32
62;2;4;9;20;41
63;5;9;12;23;40
64;6;9;11;29;35
65;1;25;46;47;48
66;5;14;21;23;50
67;6;8;23;33;49
68;15;16;17;19;50
69;7;27;33;47;48
70;7;18;19;33;37
71;4;13;19;25;43
72;14;23;29;33;37
73;7;26;32;34;49
74;5;32;33;38;49
75;4;10;25;30;47
76;6;9;10;17;43
77;3;7;20;32;44
78;3;10;18;31;43
79;2;6;15;18;24
80;6;10;21;34;36
81;1;7;16;21;48
82;2;11;23;29;34
83;7;22;24;25;41
84;9;25;39;41;46
85;7;10;13;26;27
86;18;25;28;34;42
87;3;19;32;43;48
88;1;38;39;42;47
89;17;25;32;35;45
90;1;8;18;25;47
91;9;19;24;28;49
92;9;12;22;37;40
93;2;15;33;40;43
94;1;16;34;36;37
95;8;18;22;33;40
96;4;7;17;25;29
97;4;28;30;36;46
98;12;17;29;39;40
99;16;18;20;36;49
100;19;21;22;28;45
101;2;4;21;30;41
102;2;17;21;22;45
103;7;14;15;20;39
104;6;7;9;13;30
105;8;18;35;38;42
106;10;32;35;38;45
107;10;16;28;30;33
108;1;7;14;22;44
109;12;32;40;44;49
110;4;7;10;39;48
111;9;31;32;33;34
112;1;11;14;22;43
113;9;28;36;42;43
114;6;21;33;37;47
115;7;17;25;26;35
116;6;9;19;37;38
117;1;8;15;18;39
118;6;10;23;33;41
119;11;33;35;42;44
120;3;10;11;13;42
121;3;10;16;35;45
122;6;11;15;18;45
123;3;10;36;43;47
124;5;18;33;38;47
125;15;19;21;34;40
126;17;38;41;43;47
127;19;20;40;42;47
128;1;8;9;12;37
129;26;31;33;39;40
130;2;9;17;25;29
131;13;18;20;38;39
132;8;26;32;44;50
133;8;15;34;44;49
134;11;17;20;22;29
135;14;24;27;35;39
136;3;15;22;26;37
137;3;7;27;43;46
138;5;13;25;33;35
139;22;25;41;45;49
140;4;18;35;41;43
141;6;16;18;29;35
142;11;25;32;42;47
143;1;8;15;19;37
144;10;11;25;32;49
145;2;21;30;39;43
146;16;29;38;42;48
147;13;19;20;27;41
148;1;4;14;32;48
149;2;13;14;30;32
150;3;4;8;11;41
151;3;19;22;37;39
152;3;7;14;46;48
153;1;16;18;29;44
154;9;28;30;43;49
155;9;16;17;20;32
156;1;10;25;39;44
157;9;11;13;35;38
158;3;26;31;33;50
159;5;34;37;43;48
160;1;18;26;40;47
161;5;6;13;20;33
162;4;17;27;33;46
163;8;24;25;30;50
164;19;31;32;40;46
165;12;14;18;38;46
166;8;23;24;39;50
167;1;6;16;28;38
168;19;38;40;41;50
169;17;23;27;30;39
170;12;14;20;21;39
171;14;27;28;35;47
172;1;31;40;41;45
173;12;35;36;39;47
174;6;21;30;37;44
175;6;12;15;20;30
176;11;19;24;46;49
177;1;9;15;22;49
178;1;7;27;28;41
179;13;20;39;40;42
180;5;8;33;34;46
181;12;23;37;41;46
182;7;22;27;30;31
183;3;7;13;41;48
184;3;5;13;16;30
185;7;9;28;39;47
186;13;14;23;26;31
187;11;19;38;42;46
188;16;18;34;36;49
189;5;15;16;36;37
190;2;4;8;22;24
191;19;23;26;27;49
192;1;18;20;31;36
193;2;7;13;26;49
194;14;16;26;34;38
195;34;36;37;39;49
196;11;19;27;32;42
197;8;9;33;34;36
198;11;14;35;44;45
199;1;2;5;24;47
200;4;23;25;37;39
201;3;19;26;29;36
202;3;20;32;40;42
203;10;25;35;37;43
204;7;20;21;33;41
205;10;12;28;29;49
206;9;11;19;42;45
207;2;5;10;13;28
208;10;16;31;37;40
209;10;20;35;47;50
210;9;10;19;20;35
211;6;12;21;40;49
212;1;2;16;31;50
213;1;5;17;39;46
214;5;28;31;33;49
215;10;14;20;24;40
216;12;24;38;45;46
217;6;7;36;39;40
218;6;19;23;33;34
219;4;10;26;33;48
220;13;20;32;34;47
221;11;12;26;28;37
222;16;18;19;23;44
223;19;21;24;41;48
224;29;37;38;47;50
225;4;19;21;31;42
226;12;22;36;38;50
227;6;14;20;26;46
228;4;8;22;36;44
229;5;11;12;30;40
230;6;15;18;21;38
231;22;33;42;43;46
232;4;8;9;33;43
233;15;28;30;42;50
234;11;27;34;35;39
235;15;28;30;37;43
236;1;7;23;25;45
237;4;28;29;39;44
238;1;10;20;43;44
239;7;10;25;39;42
240;14;16;28;34;35
241;1;4;6;12;13
242;14;15;16;22;50
243;1;16;18;42;47
244;7;10;16;32;40
245;19;28;34;45;49
246;1;20;39;48;50
247;12;17;29;44;50
248;2;3;24;25;34
249;13;27;30;42;46
250;27;30;45;47;50
251;7;14;23;27;35
252;2;21;26;44;45
253;5;23;25;35;40
254;12;15;19;29;48
255;4;5;17;39;47
256;13;23;31;42;44
257;7;18;19;40;49
258;1;7;13;19;20
259;3;7;16;18;25
260;13;18;20;35;46
261;3;16;25;38;45
262;25;26;30;36;44
263;8;14;34;40;44
264;10;27;43;45;46
265;6;22;33;46;49
266;27;31;44;46;49
267;3;38;39;41;45
268;8;11;23;41;42
269;7;14;31;35;46
270;22;33;41;46;50
271;3;11;13;15;23
272;2;4;17;20;46
273;13;17;20;24;47
274;1;24;25;31;38
275;6;14;19;27;35
